,ShannonRadii,AtomicVolum wmean,density,HeatFusion wmean,metalloid,VegardVolume,BulkModulus wstd,NfValenc wstd,energysStab,SpaceGroupNumber wstd,strainlatticemean,oxidation flexibility Std,Density wstd,avgIonicRadVol
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",0.5299954710811147,6200.399410993186,5.089621942317269,5.073333333333333,0.0,1.064192912351852,28.33333333333333,0.0,0.28384010833333306,34.166666666666664,-0.0642006506002805,0.15713484026367722,1427.8570000000002,0.5320943099266652
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",0.4422091657429311,6200.338441689601,3.5314848916100865,2.4316666666666658,0.0,1.2071668820637784,18.33333333333333,0.0,0.17869182333333278,28.33333333333333,-0.14551096106935782,0.03928371006591929,750.6903333333332,0.4848464661288364
"mp-300018782, FeO2, Li(FeO2)3, mp-25517, mp-762931",0.4719892109841548,6199.361949658057,4.157517139858353,2.375,0.0,2.062720019962468,28.33333333333333,0.0,0.13752982229166744,34.166666666666664,-0.19522286551773296,0.31426968052735443,1311.8570000000002,0.448387931456536
"mp-300018793, CrO2, Li3Cr5O10, mp-714929, mp-762282",0.4417487713241296,6199.41454507545,3.989574461114087,3.5733333333333333,0.0,1.0867546360024338,26.666666666666664,0.0,0.19124211833333504,34.166666666666664,-0.24030077224806445,0.3142696805273545,1189.5236666666667,0.4211307906208255
"mp-300019131, MnBO3, Li2Mn3(BO3)3, mp-510766, mp-849566",0.5882503293922842,3719.7401314132726,3.016087157962879,4.251333333333334,1.0,1.0028582567691178,26.398653164297773,0.0,0.2211043293333325,15.240589081644965,-0.05285000707812889,0.1808621328833405,621.3515624533989,0.5487975263357353
"mp-300019431, YMo3O8, LiYMo3O8, mp-25579, mp-19431",0.5132812858453062,4133.808144079476,5.168142676775903,3.4886111111111107,0.0,0.989167855511412,26.337405920425873,0.0,0.1106411443749984,21.55122379155253,-0.059333972886169185,0.15896559919804995,1133.6494302561525,0.5215186425055885
"mp-300019433, ScMo3O8, LiScMo3O8, mp-632694, mp-19433",0.482746244692837,4133.585813469367,5.131680720706706,3.5638888888888887,0.0,0.9929222681873708,26.058427939280342,0.0,0.14578880954860907,21.55122379155253,-0.0569316938117345,0.15896559919804995,1157.0849042992204,0.4917056498882057
"mp-300025417, TiO2, Li2Ti3O6, mvc-11600, mp-760539",0.6136810727707418,6200.338441689601,2.4458620885555566,2.4316666666666658,0.0,5.7053098900861805,18.33333333333333,0.0,0.15142285083333284,28.33333333333333,-0.5969097692002651,0.15713484026367722,750.6903333333332,0.6432111315910404
"mp-300025576, MoO2, Li(MoO2)2, mp-714969, mp-25576",0.5830626984968857,6199.982535611101,4.624620030734843,6.3199999999999985,0.0,1.1962885143356874,38.33333333333333,0.0,0.2346574591666641,34.166666666666664,-0.43376273741084265,0.15713484026367722,1712.8570000000002,0.5927556786136648
"mp-300025614, NiPO4, LiNi2(PO4)2, mp-540008, mp-767051",0.4981010781403742,4133.774670678664,3.7158041170355256,2.05,0.0,0.8480939851280417,13.730429394524586,0.0,0.10302384968749843,16.022168284698857,9.473903143468005e-15,0.06093725269022308,640.0964591500214,0.4770548791015342
"mp-300025637, VPO4, LiV2(PO4)2, mp-32453, mp-767232",0.5472349273401247,4133.93598255529,3.2913559769920533,2.273333333333333,0.0,0.844978433371163,12.161718933087025,0.0,0.02369942833333205,16.330498620225445,9.473903143468005e-15,0.06364688465216445,426.5247640521337,0.5084947879853533
"mp-300025929, Bi2(PO4)3, LiBi2(PO4)3, mp-26074, mp-504151",0.5882617315455945,4377.685789833083,4.383503469759232,1.5778823529411763,0.0,1.1051911855314098,1.489938058157872,0.7764309754205228,0.06946963224264824,3.60315125437966,-0.30515516713307633,0.053605305829860436,484.3581925779129,0.5796251087913163
"mp-300026725, SnPO4, LiSnPO4, mp-673078, mp-26725",0.6424456354100374,4134.664976279793,3.741435083389375,1.4761111111111107,0.0,0.9506076560456792,4.192144328869662,0.0,0.17310171173611175,9.636286872616342,-0.17825190005535654,0.05237828008789242,517.4792143774389,0.6139834217420114
"mp-300026795, Cu5P3O13, LiCu5P3O13, mp-26796, mp-26795",0.5505588508330961,3838.767543483677,4.03060387932769,2.0076190476190474,0.0,0.822683260420458,15.356500950449913,0.0,0.007494385178569374,23.616263276743478,-0.0004102932126883729,0.036983007778458254,945.536989591512,0.5190984172585644
"mp-300032123, Mo2PO8, LiMo2PO8, mp-32124, mp-32123",0.5687973579450748,4508.993733791135,3.636604350501436,2.8866666666666667,0.0,0.824425137344226,19.48185565403147,0.0,0.009652718068181798,17.871493118913072,-3.0329946433482746e-05,0.04048743376501121,844.4713488430243,0.5528837525475778
"mp-300504214, CoP2O7, LiCoP2O7, mp-31552, mp-504214",0.5402454579640622,4340.426808991407,3.049505481910459,1.8273333333333333,0.0,0.8815293743974555,8.017203724214294,0.0,0.08042490343750064,7.788880963698618,-0.07051145875508287,0.04031128874149275,364.93079533281684,0.5114817291413032
"mp-300540113, Cr2(PO4)3, LiCr2(PO4)3, mp-540345, mp-31667",0.5398980103326112,4376.7685144758925,2.920827520425749,1.9658823529411764,0.0,0.8058337770269447,8.453186555218794,0.0,0.05647812731617562,11.125511621617804,-2.3684757858670013e-15,0.026802652914930208,345.66873400040015,0.5043010471992105
"mp-300540123, FePO4, LiFePO4, mp-25001, mp-540123",0.5371198636692534,4133.821119596877,3.4465696496142355,1.8461111111111108,0.0,0.8455637375291347,12.945994184770004,0.0,0.0179328979166673,16.330498620225445,1.1842378929335006e-15,0.07856742013183861,560.6076268109606,0.4934288442729772
"mp-300540161, Mn(PO3)4, LiMn(PO3)4, mp-31998, mp-540161",0.5574591415812777,4377.086964502058,2.7647777870986734,1.7590196078431373,0.0,1.0042038797616315,2.915706713010369,0.0,0.05718478099264779,5.094493487924052,-0.16586036951148606,0.06033078122547645,204.24197919449776,0.5233123596556857
"mp-300540203, Co2P3O10, LiCo2P3O10, mp-540204, mp-540203",0.6595694480835483,4133.96901670467,2.5142481643412866,2.0048888888888894,0.0,1.0184446174622568,10.832461503380578,0.0,0.016503985666667553,10.674626659559932,-0.2241843070767876,0.05370242654930922,495.9783459969564,0.6337759997339987
"mp-300540292, CrPO5, LiCrPO5, mvc-3271, mp-540292",0.5325602882230214,4428.632994844645,3.103876184662804,1.935238095238095,0.0,1.4637689474906832,10.42433051407459,0.0,0.052513287678571,13.756383799461807,-0.30099153593531963,0.12907255755789304,432.3784320045328,0.4715651146403352
"mp-300540456, Cr(PO3)3, LiCr(PO3)3, mp-31669, mp-540456",0.591066570539334,4292.987430803293,2.6154345627446087,2.0153846153846158,0.0,0.9567469737848466,5.305771980123389,0.0,0.024012589807691498,7.011496148326782,-0.1321770764349246,0.07100591715976333,234.10383367061317,0.5585117099272197
"mp-300540471, Mn(PO3)3, LiMn(PO3)3, mp-540472, mp-540471",0.6009747985722115,4292.990501751799,2.5964745082205885,1.807948717948718,0.0,0.9550533024691316,3.89355407225962,0.0,0.018232422115383784,6.62739914754506,-0.1321426987545872,0.08199057077249122,242.4160331021003,0.5696065324616431
"mp-300558256, TiO2, Li3Ti4O8, mp-2657, mp-558256",0.3481149672370856,6200.338441689601,4.127214007263516,2.4316666666666658,0.0,0.9239213876967948,18.33333333333333,0.0,0.03673304916666531,28.33333333333333,1.0954200509634878e-14,0.07856742013183861,750.6903333333332,0.3979447891917767
"mp-300566471, FeMoClO4, LiFeMoClO4, mp-24968, mp-566471",0.7188524025645262,3311.1990696135413,3.222117964474944,1.9775,0.0,0.8457045885761174,14.56528363077417,0.0,0.0,12.383539107069778,-4.144832625267252e-14,0.14139190265868387,659.3337409230057,0.6906802350800287
"mp-300566770, V2(SO4)3, LiV2(SO4)3, mp-25724, mp-770367",0.5174982556377588,4376.775596699977,3.0402672564719246,0.9961372549019608,0.0,0.9940216149122324,8.571189548304949,0.0,0.060518016617646886,7.951602934937687,-0.15473043792809096,0.04564327321201702,293.1213390051372,0.4693677736937275
"mp-300578763, Ni(SO4)2, LiNi(SO4)2, mp-850515, mp-782632",0.4790574573383346,4509.17732448322,3.2659439068828724,0.6873333333333335,0.0,0.8025423986941124,7.405996131247398,0.0,0.1574837661742423,4.8675760499849945,-4.500103993147302e-14,0.017347991346845733,330.9917340319437,0.4162798305031733
"mp-300585261, Mo2P2O11, LiMo4(P2O11)2, mp-540142, mp-585261",0.5788731808569957,4546.702196364273,3.2858538350181004,2.543555555555556,0.0,0.8548729917746498,14.123406716651285,0.0,0.0,12.741998215292547,-0.02582732933526444,0.05896221849520712,596.8351998464601,0.5512994712815171
"mp-300673706, Mo3Se4, Li7(Mo3Se4)4, mp-21021, mp-673706",0.8326313888114182,11.095561469051237,6.52566258304488,9.94285714285714,0.0,0.8395184837861045,46.914285714285704,0.0,0.0645735321428571,45.07142857142857,-0.0006967962249030771,0.0,825.9999999999997,0.8484217562880169
"mp-300675779, Mo3S4, Li(Mo3S4)2, mp-2164, mp-675711",0.4765778722909414,11.083487517292264,5.038301448211096,8.523142857142856,0.0,0.8434630892637337,47.08571428571428,0.0,0.06656829857142732,29.07142857142857,-0.0003922125408498308,0.0,1642.8571428571427,0.8740811396335356
"mp-300690551, Mo3O8, LiMo3O8, mp-715479, mp-25584",0.537745909663268,6762.912726089937,4.300488906084297,5.1909090909090905,0.0,1.0300963474254494,31.36363636363636,0.0,0.2875624192207802,26.863636363636363,-0.9118784511437958,0.08097486753002242,1401.2985454545455,0.5460658893216296
"mp-300691164, MnO2, LiMn3O6, mp-25545, mp-763655",0.4585450696009236,6199.434506240733,4.117354324094925,2.225,0.0,1.2114745860840908,20.0,0.0,0.03193812083333292,32.166666666666664,-0.13909560143996558,0.2357022603955159,1244.5236666666667,0.4413129746806357
"mp-300705404, Fe3P4O15, LiFe3P4O15, mp-705395, mp-705381",0.5845387051443514,4227.744637568427,2.9332978341548404,1.8013636363636365,0.0,0.8031504459837847,10.488438691681637,0.0,0.08361094874053078,13.10123400352271,-4.973799150320702e-14,0.021171385880081814,448.57612803144235,0.5470621562685547
"mp-300705640, Co21O40, Li20Co21O40, mp-851287, mp-705640",0.4162748280157649,6097.695079786242,4.834275136979407,2.860655737704918,0.0,0.969665486709242,30.98360655737705,0.0,0.05365822303278645,29.459016393442624,-0.20387307330118887,0.015577937915817726,1531.49868852459,0.4184437873442784
"mp-300743603, Ti3Fe(PO4)6, Li3Ti3Fe(PO4)6, mp-775436, mp-743603",0.5682022077581566,3282.6963459050844,2.667782465919092,1.2704411764705883,0.0,1.1911599704720028,3.6637131598484975,0.0,0.03646201041360442,5.985723174388808,-0.3564193801180089,0.04697638056188742,148.9204771908629,0.549652330493749
"mp-300752433, La3Ti4O12, LiLa3Ti4O12, mp-754804, mp-752433",0.4452132608189523,3917.3597053484987,5.5011548625532924,1.3656140350877193,0.0,0.8496911239679267,10.038277005162747,0.0,0.02695727710526441,13.91288908207184,-2.079333155554271e-05,0.06578582873705217,452.03506122300627,0.4570984104613155
"mp-300753403, CuCO3, LiCu2(CO3)2, mp-760595, mp-753403",0.6491983543160668,3719.816435407693,2.9356529254467416,8.777333333333335,0.0,0.8569095697761112,11.951382997609755,0.0,0.10976024699999964,16.55240835111985,-0.027068881377394643,0.08717797887081348,756.9934079758127,0.6056544790536149
"mp-300755367, Ta2CuO6, LiTa2CuO6, mp-754223, mp-755367",0.4826275611428513,4133.374311110617,7.768092686047852,3.2614814814814816,0.0,1.347526808575108,18.414522806897853,1.4665918424609872,0.10474137277777727,17.634219757255718,-0.1555424289671675,0.10475656017578484,1563.5232269777684,0.4868006532304005
"mp-300755414, TiS2, Li(TiS2)2, mp-9027, mvc-16738",0.23353495242502845,11.99490145802475,3.1433386446648663,2.932,0.0,1.1812663624994115,15.766666666666666,0.0,0.022005891666666774,8.999999999999996,-0.19701691974143168,0.11785113019775792,97.83333333333336,0.8597701299829822
"mp-300755615, TiO2, Li5Ti12O24, mp-754672, mp-765985",0.6188278821759132,6200.338441689601,2.9559963142453225,2.4316666666666658,0.0,0.8697549364941017,18.33333333333333,0.0,0.032580068333333045,28.33333333333333,4.1448326252672506e-15,0.03928371006591929,750.6903333333332,0.5687955650011755
"mp-300757464, Nb(PO3)4, LiNb(PO3)4, mp-757155, mp-757464",0.5799662561737423,4377.200482708229,2.8800441500298564,2.094117647058824,0.0,0.9725791543820612,4.237835112846595,0.0,0.043925885834734224,5.354126134736337,-0.14197484798230184,0.049903823881854534,221.58427235743463,0.5517680749064172
"mp-300757663, Sn(PO3)4, LiSn(PO3)4, mp-757156, mp-757663",0.566582237316455,4377.376260203951,3.1680137377443653,1.6460784313725492,0.0,0.9740959810540684,1.4536276857137755,0.0,0.03142284558823505,3.730337403942311,-0.13907424629657447,0.053605305829860436,201.97933087866818,0.5358489483930383
"mp-300758997, CuCO3, LiCu3(CO3)3, mp-760536, mp-758450",0.6035524046779804,3719.816435407693,3.3176370673072832,8.777333333333335,0.0,0.9992225768569116,11.951382997609755,0.0,0.13777366016666634,16.55240835111985,-0.05389714552738548,0.11623730516108464,756.9934079758127,0.554342645113869
"mp-300759185, Sb(PO3)4, LiSb(PO3)4, mvc-1868, mp-759185",0.5958938666198974,4377.439488403592,2.9547852694727914,1.8939215686274509,1.0,0.9737670154263952,1.193343063113956,0.0,0.0340691015441168,4.110357693569844,-0.17257754042629378,0.053605305829860436,194.0066224030983,0.5701063976558769
"mp-300760014, SbF4, LiSbF4, mp-556425, mp-760014",0.6563754880102988,7443.662569275822,3.9454588661994654,2.081,1.0,0.8301944995609181,4.2,0.0,0.0,10.6,-0.07592841265797527,0.04000000000000002,669.0216,0.9006821711350211
"mp-300761467, FePO4, LiFePO4, mp-19109, mp-761467",0.6230532589043162,4133.821119596877,2.777902913087716,1.8461111111111108,0.0,0.9758149591890546,12.945994184770004,0.0,0.003841773194444898,16.330498620225445,-0.12284511763963835,0.10475656017578484,560.6076268109606,0.5917083847883904
"mp-300761511, VFe3(PO4)6, Li6VFe3(PO4)6, mp-775598, mp-761511",0.5764892566317396,3282.5823067630517,2.756817685826422,1.319485294117647,0.0,1.1896812000624863,5.782834639740987,0.0,0.06593274553921713,7.171798141422753,-0.35364367556073856,0.051816536788484205,255.03666708429142,0.5471283277475911
"mp-300761533, Cr3Ni(PO4)6, Li6Cr3Ni(PO4)6, mp-774406, mp-761533",0.5616954011411365,3282.5679178199184,2.8114303532962195,1.448529411764706,0.0,1.191490898193334,5.411025365097647,0.0,0.08577610448529427,7.181019532245497,-0.3482604142320156,0.05162120673991589,223.6944397555131,0.5307855413125728
"mp-300761576, MnV2(PO4)3, Li2MnV2(PO4)3, mp-775212, mp-761576",0.5570320846682706,3100.4293175587536,3.2184345225602566,1.5856944444444443,0.0,1.1510303627725331,6.914198019962928,0.0,0.005245353333332758,9.106229637444716,-0.3076486993242433,0.05283099619945583,243.08324925471825,0.5199524777284188
"mp-300761586, Mn3Fe3(TeO8)2, Li4Mn3Fe3(TeO8)2, mp-775968, mp-761586",0.23619584587074435,3100.1566484331347,4.839348870177737,1.23375,1.0,0.9638453609635383,8.244316223920574,0.0,0.06664191881510373,8.940413278105959,-0.11178909181638552,0.09616237794532102,394.9416111951445,0.4179681897101036
"mp-300761674, Co3SbO8, Li2Co3SbO8, mp-761540, mp-761674",0.3965217599631317,4133.354342705787,5.572425732757976,1.9486111111111108,1.0,0.9749771930412784,20.438253893672574,0.0,0.0572026103124994,17.876289558939842,-0.1055326481274772,0.05334128991575423,944.8922510152893,0.4089516802514117
"mp-300761763, FeCo3O8, Li2FeCo3O8, mp-761579, mp-761763",0.38453984309012507,4132.842841081502,4.9279364852403225,1.7825,0.0,0.9752530663054362,18.786487132123238,0.0,0.04620953765624946,17.089407230977113,-0.10226774020409776,0.05334128991575423,933.1505746353696,0.38013056426161335
"mp-300761797, Mn15O32, Li6Mn15O32, mp-777108, mp-761797",0.4593445306419265,6331.207445687711,3.978051448209877,2.135,0.0,0.9675046869367432,19.148936170212764,0.0,0.0954162305319155,30.54255319148937,-1.4246456533666132,0.05950810946185599,1191.5348085106382,0.4430942010098229
"mp-300761800, V3Cr(PO4)6, Li6V3Cr(PO4)6, mp-775008, mp-761800",0.5486584061139755,3282.61503204987,2.8280831940962523,1.4854411764705884,0.0,1.1928370203131655,5.418214666567796,0.0,0.022493674705881258,7.171798141422753,-0.34421361716647186,0.0478523068717624,194.3176809019109,0.5280427043851468
"mp-300761806, NbCo3O8, Li2NbCo3O8, mp-761589, mp-761806",0.4166420817325969,4133.015751304024,5.100027934144904,2.2322222222222217,0.0,0.9741966912730528,18.786487132123238,0.0,0.07425313958333213,17.089407230977113,-0.10724098086338724,0.03928371006591929,927.2227415372224,0.420471903531468
"mp-300762055, Cr3Co3(SbO8)2, Li4Cr3Co3(SbO8)2, mp-761807, mp-762055",0.4142129664045725,3100.050040679052,5.182526208060359,1.6114583333333332,1.0,0.9739972968350612,9.867877177995275,0.0,0.10197749848958272,8.177415067580952,-0.10994796001502928,0.06795272844021155,418.9571165985315,0.4187967431382643
"mp-300762388, NiO2, Li2(NiO2)3, mvc-6929, mp-762388",0.4535010327382115,6199.2226029034155,4.296969928940259,2.9866666666666664,0.0,1.0792558566608574,30.0,0.0,0.09112705027777768,33.5,-0.05890356532034127,0.07856742013183861,1484.1903333333332,0.4734082456639023
"mp-300762448, Fe3Sb(PO4)6, Li6Fe3Sb(PO4)6, mp-775128, mp-762448",0.5858955945534435,3282.702501801455,2.9423683408625347,1.3069117647058823,1.0,1.191841337869368,6.0765552923883845,0.0,0.06232726484477257,7.356774735953993,-0.35992459069543753,0.053605305829860436,253.1150786751076,0.5556112704953251
"mp-300762458, Cr3P6WO24, Li6Cr3P6WO24, mp-775219, mp-762458",0.5663591626836819,3282.604075540376,3.2292103597859287,1.7046323529411764,0.0,1.1922311408641666,5.651193339390322,0.17829934783797266,0.020667352628676028,7.171798141422753,-0.3509491059837089,0.053605305829860436,247.0799343999209,0.5347984573263684
"mp-300762462, Ti3Cr(PO4)6, Li6Ti3Cr(PO4)6, mp-774416, mp-762462",0.5523003306484842,3282.698666291145,2.7390590768447765,1.3233088235294121,0.0,1.1905436404417284,3.649074395601805,0.0,0.049287556066179405,5.985723174388808,-0.34822183203426843,0.04697638056188742,149.44512948141292,0.5333901987275863
"mp-300762542, Ti3Cr3(SbO8)2, Li4Ti3Cr3(SbO8)2, mp-770891, mp-762542",0.4465406711765522,3100.257554943917,4.603021566181151,1.5473958333333333,1.0,0.9670602865483192,7.9753036776037565,0.0,0.09952408135416846,8.177415067580952,-0.11301298009170442,0.0664048315934211,320.32755527076193,0.4551837707703959
"mp-300762664, V3P6WO24, Li6V3P6WO24, mp-775437, mp-762664",0.561543001218032,3282.642721733327,3.22458230831504,1.7156617647058825,0.0,1.1862786000473848,5.651193339390322,0.17829934783797266,0.0,7.171798141422753,-0.3478938444524561,0.0478523068717624,226.3278095081813,0.5435505885337958
"mp-300762666, Fe5P3O13, LiFe5P3O13, mp-763767, mp-762666",0.572135766217392,3838.7633707088867,3.642309165925951,2.024285714285714,0.0,0.8239204137208612,18.721265039420835,0.0,0.05443280873015688,24.061848165987023,-0.002463516541612402,0.046249610100614826,828.9787060825423,0.5311834134718431
"mp-300762903, MnF3, LiMnF3, mp-556560, mp-762903",0.5894542048469805,6977.129800806425,3.2606853549372325,1.709375,0.0,0.9765659803886264,15.0,0.0,0.0,21.5,-0.16157304315150492,0.18042195912175807,933.114,0.8731023518440572
"mp-300763102, Mn3Co3(SbO8)2, Li4Mn3Co3(SbO8)2, mp-863857, mp-763102",0.4401510580107145,3100.0537833975427,5.0756442503041805,1.358645833333333,1.0,0.9662409754807719,8.989577298182603,0.0,0.08017082989583191,7.735053631843803,-0.10921579101284233,0.08893228107545624,425.47750867972513,0.4438297467249539
"mp-300763122, Mn2Co(PO4)3, Li2Mn2Co(PO4)3, mp-761760, mp-763122",0.5306647673011538,3100.367078235236,3.394117535386365,1.3927777777777777,0.0,1.1595442012191663,5.540726737331283,0.0,0.06077343194444396,8.581625144659768,-0.2967995468172913,0.06087371272628402,300.8707988423091,0.5035533692773836
"mp-300763186, Mn3SbO8, Li2Mn3SbO8, mp-775510, mp-763186",0.4513452256953308,4133.455746354327,4.893060519449269,1.6744444444444444,1.0,0.9684542791294548,13.393613735242965,0.0,0.05442185607638805,20.56587578766293,-0.11245333294020377,0.11002069109551986,782.3728533022452,0.446167057920461
"mp-300763334, Mn5Cr(PO4)6, Li4Mn5Cr(PO4)6, mp-772327, mp-763334",0.5327496002182056,3100.3831471281073,3.3248029369244096,1.4032638888888886,0.0,1.1483758057467588,6.505384166069533,0.0,0.03822459548611157,11.296244117972995,-0.3000113716139801,0.06523599193780323,392.00796566180327,0.5021568962095402
"mp-300763437, WF6, LiWF6, mp-555003, mp-763437",0.6341613272284503,7973.250724171115,4.066060298107659,3.8457142857142856,0.0,0.8262332078225741,22.142857142857146,1.0,0.0,9.928571428571429,-1.7763568394002498e-14,0.0999791731748236,1374.2731428571428,0.9120769295236296
"mp-300763459, P4WO12, LiP4WO12, mvc-2220, mp-763459",0.5882700015070098,4377.1584552855575,3.4692998658856267,2.5315686274509805,0.0,0.9963154356430612,8.055745798440316,0.3882154877102614,0.02694873382353169,5.354126134736337,-0.18150609696819586,0.053605305829860436,466.4111310902081,0.5600750782959846
"mp-300763479, Mn3CrCo2(PO4)6, Li4Mn3CrCo2(PO4)6, mp-762512, mp-763479",0.5244036619401358,2480.2929972160127,3.419610427772835,1.1591666666666665,0.0,1.1581729098615057,4.123345160017772,0.0,0.04916616951388875,5.802154772151464,-0.2949205252065319,0.05829576162816081,218.50031714292209,0.4967204689525146
"mp-300763515, MnF4, LiMnF4, mp-561659, mp-763515",0.6926377803722971,7441.8646973780005,3.3402801604410643,1.3930000000000002,0.0,0.9162907759877598,12.0,0.0,0.0,15.700000000000005,-0.11287559444301702,0.1,746.3216,0.8663173292412608
"mp-300763519, Mn3Nb2Co3O16, Li4Mn3Nb2Co3O16, mp-851279, mp-763519",0.4349309341637995,3099.7998398462205,4.850204319077436,1.5713541666666666,0.0,0.9713601639471912,8.13300887330964,0.0,0.06610564218749992,7.298530995172932,-0.10948732221541076,0.0830434773826486,422.28251771862136,0.43002199978747696
"mp-300763526, P(WO4)2, LiP(WO4)2, mp-504791, mp-763526",0.5818037635368155,4509.015421896359,5.387137641630751,3.7854545454545456,0.0,0.8240329962036487,26.337534971842395,1.1999387801953532,1.4371363636911386e-05,17.871493118913072,-9.000207986294603e-14,0.04048743376501121,1612.0112671296204,0.5595199427932825
"mp-300763587, Ti3Mn3(SbO8)2, Li4Ti3Mn3(SbO8)2, mp-763292, mp-763587",0.4441905585612018,3100.2612976624077,4.610776455062592,1.2945833333333332,1.0,0.9731661796578459,6.447807282324744,0.0,0.08447255482638916,7.735053631843803,-0.1159490393848029,0.08837129578211399,333.0873958749312,0.466917515090565
"mp-300763600, Co2C2O7, LiCo2C2O7, mp-763662, mp-763600",0.6714897263312399,3945.000668673413,2.440328733602502,8.143636363636364,0.0,0.9426587666811224,14.226038285104401,0.0,0.09424068727272683,13.027906756406695,-0.14442533823358872,0.04739573149885745,686.4706359837753,0.6371771585822495
"mp-300763649, NbCr3(PO4)6, Li6NbCr3(PO4)6, mp-849254, mp-763649",0.5688533868305136,3282.619835823879,2.8823020144048797,1.5405882352941176,0.0,1.1920649763555629,5.413123231018009,0.0,0.03866799566176482,7.171798141422753,-0.3529810537639288,0.051816536788484205,224.19834930440518,0.5377614693448052
"mp-300764280, MnF4, LiMnF4, mp-765253, mp-764361",0.6980835350740238,7441.8646973780005,3.281098044920036,1.3930000000000002,0.0,0.8923730657072138,12.0,0.0,0.07886305774999869,15.700000000000005,-7.300758163294081e-05,0.4,746.3216,0.8686858800465797
"mp-300764313, KMnP3HO10, KLiMnP3HO10, mp-542842, mp-764313",0.5646250756068257,2558.909081753749,2.5445618200058058,0.9140625,0.0,0.942921883425973,2.88113042051206,0.0,0.0,5.172855835996206,-0.12109216023756868,0.06976785585738965,194.2614350070488,0.5445387548216637
"mp-300764358, FeF3, LiFeF3, mp-556197, mp-764358",0.5820817938766558,6977.075383369418,3.4130682574628235,1.821875,0.0,1.2818128059081164,21.25,0.0,0.0,23.0,-0.13468990387709864,0.4330127018922193,983.614,0.8725215781094506
